timestamp,source_ip,host,log_type,severity,raw_message,tags
2026-06-21T15:03:54.186682+00:00,32.204.48.205,vpn-gw,système,warning,kernel: EXT4-fs error on device sda1,"kernel, oom"
2026-06-21T14:51:27.390832+00:00,50.147.119.74,auth-srv,réseau,warning,Connection from 2.232.143.69:33190 to 10.236.152.138:3306 ESTABLISHED,"firewall, drop"
2026-06-21T14:40:56.285514+00:00,138.173.42.172,vpn-gw,auth,critical,Accepted publickey for elizabethkramer from 81.205.254.117 port 55805,"auth, sudo"
2026-06-21T14:39:03.778552+00:00,56.87.132.16,db-master,réseau,warning,DROP IN=eth0 OUT= SRC=96.210.250.59 DST=172.26.31.5 PROTO=TCP DPT=80,"firewall, drop"
2026-06-21T14:32:36.195489+00:00,39.199.71.252,vpn-gw,réseau,info,Connection from 188.197.49.103:8180 to 192.168.213.42:5432 ESTABLISHED,"tcp, established"
2026-06-21T14:20:28.797573+00:00,220.102.242.85,proxy-01,système,info,Out of memory: Kill process 72397 (redis),"kernel, oom"
2026-06-21T14:12:02.532960+00:00,137.0.111.59,proxy-01,réseau,warning,New connection accepted from 176.152.22.158,"firewall, drop"
2026-06-21T13:28:45.205287+00:00,59.8.69.110,vpn-gw,auth,info,Accepted publickey for zhahn from 136.49.108.171 port 42526,"ssh, brute-force"
2026-06-21T13:18:43.411661+00:00,75.198.188.56,proxy-01,système,warning,CPU temperature above threshold: 80°C,"cpu, temp"
2026-06-21T13:13:07.796693+00:00,111.173.191.122,web-srv-01,système,critical,Out of memory: Kill process 67974 (redis),"disk, error"
2026-06-21T13:11:42.194617+00:00,73.221.108.93,db-replica,auth,info,Invalid user michaeldelacruz from 58.222.185.76,"ssh, brute-force"
2026-06-21T13:11:01.861698+00:00,29.137.113.189,proxy-01,application,warning,Database query timeout after 30s: SELECT * FROM events,"http, auth"
2026-06-21T13:07:39.817961+00:00,31.111.141.68,db-replica,réseau,info,TLS handshake timeout from 166.44.123.29,"tls, error"
2026-06-21T12:55:43.465593+00:00,84.130.132.15,web-srv-02,auth,critical,pam_unix(sshd:auth): authentication failure; user=karen61,"ssh, login"
2026-06-21T12:55:35.508990+00:00,46.182.37.183,monitor,réseau,critical,Connection from 140.125.200.91:9941 to 10.70.248.73:5432 ESTABLISHED,"tls, error"
2026-06-21T12:44:12.461641+00:00,60.79.248.155,proxy-01,application,info,Unhandled exception in worker 88188: NullPointerException,"db, timeout"
2026-06-21T12:34:58.046478+00:00,166.104.80.156,web-srv-02,auth,info,Failed password for sarahcampos from 105.6.187.110 port 4676 ssh2,"ssh, login"
2026-06-21T12:24:30.759701+00:00,126.65.151.60,auth-srv,système,warning,Out of memory: Kill process 54540 (nginx),"cpu, temp"
2026-06-21T12:12:41.037560+00:00,170.233.172.50,auth-srv,réseau,info,TLS handshake timeout from 70.128.80.37,"tcp, established"
2026-06-21T12:05:27.314931+00:00,213.56.192.96,db-master,application,info,Database query timeout after 30s: SELECT * FROM events,"http, auth"
2026-06-21T12:02:41.881357+00:00,1.176.119.118,monitor,auth,critical,Failed password for mark89 from 219.109.23.255 port 43407 ssh2,"ssh, brute-force"
